CustomerID,total_spend,avg_order_value,num_transactions,num_products,first_purchase,last_purchase,lifespan_days
12346,0.0,0.0,2,1,2011-01-18 10:01:00,2011-01-18 10:17:00,0
12347,4310.0,615.7142857142859,7,103,2010-12-07 14:57:00,2011-12-07 15:52:00,365
12348,1797.24,449.31,4,22,2010-12-16 19:09:00,2011-09-25 13:13:00,282
12349,1757.55,1757.5500000000002,1,73,2011-11-21 09:51:00,2011-11-21 09:51:00,0
12350,334.4,334.40000000000003,1,17,2011-02-02 16:01:00,2011-02-02 16:01:00,0
12352,1545.41,140.49181818181822,11,59,2011-02-16 12:33:00,2011-11-03 14:37:00,260
12353,89.0,89.0,1,4,2011-05-19 17:47:00,2011-05-19 17:47:00,0
12354,1079.4,1079.3999999999999,1,58,2011-04-21 13:11:00,2011-04-21 13:11:00,0
12355,459.4,459.4,1,13,2011-05-09 13:49:00,2011-05-09 13:49:00,0
12356,2811.43,937.1433333333333,3,53,2011-01-18 09:50:00,2011-11-17 08:40:00,302
12357,6207.67,6207.67,1,131,2011-11-06 16:07:00,2011-11-06 16:07:00,0
12358,1168.06,584.03,2,13,2011-07-12 10:04:00,2011-12-08 10:26:00,149
12359,6245.53,1040.9216666666664,6,214,2011-01-12 12:43:00,2011-12-02 11:21:00,323
12360,2662.06,887.3533333333334,3,105,2011-05-23 09:43:00,2011-10-18 15:22:00,148
12361,189.9,189.89999999999998,1,10,2011-02-25 13:51:00,2011-02-25 13:51:00,0
12362,5154.58,396.50615384615384,13,201,2011-02-17 10:30:00,2011-12-06 15:40:00,292
12363,552.0,276.0,2,23,2011-04-11 13:29:00,2011-08-22 10:18:00,132
12364,1313.1,328.27500000000003,4,70,2011-08-19 15:24:00,2011-12-02 10:22:00,104
12365,320.69,106.89666666666665,3,22,2011-02-21 13:51:00,2011-02-21 14:04:00,0
12367,168.9,168.89999999999998,1,11,2011-12-05 16:48:00,2011-12-05 16:48:00,0
12370,3545.69,886.4224999999999,4,143,2010-12-14 12:58:00,2011-10-19 14:51:00,309
12371,1887.96,943.98,2,63,2011-10-11 10:43:00,2011-10-26 10:16:00,14
12372,1298.04,432.68000000000006,3,34,2011-02-16 12:46:00,2011-09-29 12:12:00,224
12373,364.6,364.6,1,14,2011-02-01 13:10:00,2011-02-01 13:10:00,0
12374,742.9300000000001,742.93,1,33,2011-11-14 15:37:00,2011-11-14 15:37:00,0
12375,455.42,151.80666666666667,3,14,2011-09-02 14:23:00,2011-12-07 11:27:00,95
