CustomerID,Recency,Frequency,Monetary,AvgOrderValue,Tenure,ProductDiversity,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,326,2,0.0,0.0,0,1,1.0,2.0,1.0,4.0,Hibernating
12347,2,7,4310.0,615.7142857142857,365,103,5.0,4.0,5.0,14.0,Champions
12348,75,4,1797.24,449.31,282,22,2.0,3.0,4.0,9.0,Loyal Customers
12349,19,1,1757.55,1757.55,0,73,4.0,1.0,4.0,9.0,Loyal Customers
12350,310,1,334.4,334.4,0,17,1.0,1.0,2.0,4.0,Hibernating
12352,36,11,1545.41,140.4918181818182,260,59,3.0,5.0,4.0,12.0,Champions
12353,204,1,89.0,89.0,0,4,1.0,1.0,1.0,3.0,Hibernating
12354,232,1,1079.4,1079.4,0,58,1.0,1.0,4.0,6.0,At Risk
12355,214,1,459.4,459.4,0,13,1.0,1.0,2.0,4.0,Hibernating
12356,23,3,2811.43,937.1433333333333,302,53,4.0,3.0,5.0,12.0,Champions
12357,33,1,6207.67,6207.67,0,131,3.0,1.0,5.0,9.0,Loyal Customers
12358,2,2,1168.06,584.03,149,13,5.0,2.0,4.0,11.0,Loyal Customers
12359,8,6,6245.53,1040.9216666666666,323,214,5.0,4.0,5.0,14.0,Champions
12360,52,3,2662.06,887.3533333333334,148,105,3.0,3.0,5.0,11.0,Loyal Customers
12361,287,1,189.9,189.9,0,10,1.0,1.0,1.0,3.0,Hibernating
12362,3,13,5154.58,396.50615384615384,292,201,5.0,5.0,5.0,15.0,Champions
12363,110,2,552.0,276.0,132,23,2.0,2.0,3.0,7.0,At Risk
12364,8,4,1313.1,328.275,104,70,5.0,3.0,4.0,12.0,Champions
12365,291,3,320.69,106.89666666666666,0,22,1.0,3.0,2.0,6.0,Hibernating
12367,4,1,168.9,168.9,0,11,5.0,1.0,1.0,7.0,Potential Loyalists
12370,51,4,3545.69,886.4224999999999,309,143,3.0,3.0,5.0,11.0,Loyal Customers
12371,45,2,1887.96,943.98,14,63,3.0,2.0,4.0,9.0,Loyal Customers
12372,72,3,1298.04,432.68,224,34,2.0,3.0,4.0,9.0,Loyal Customers
12373,311,1,364.6,364.6,0,14,1.0,1.0,2.0,4.0,Hibernating
12374,25,1,742.9300000000001,742.9300000000001,0,33,4.0,1.0,3.0,8.0,Potential Loyalists
12375,3,3,455.42,151.80666666666667,95,14,5.0,3.0,2.0,10.0,Loyal Customers
12377,315,2,1628.12,814.06,39,72,1.0,2.0,4.0,7.0,At Risk
12378,130,1,4008.62,4008.62,0,219,2.0,1.0,5.0,8.0,At Risk
12379,82,3,850.29,283.43,88,39,2.0,3.0,3.0,8.0,At Risk
12380,22,5,2720.56,544.1120000000001,164,77,4.0,4.0,5.0,13.0,Champions
12381,5,6,1803.96,300.66,115,70,5.0,4.0,4.0,13.0,Champions
12383,185,6,1839.31,306.5516666666667,167,84,1.0,4.0,4.0,9.0,Loyal Customers
12384,29,3,566.16,188.72,92,26,4.0,3.0,3.0,10.0,Loyal Customers
12386,338,2,401.9,200.95,29,10,1.0,2.0,2.0,5.0,Hibernating
12388,16,6,2780.66,463.4433333333333,311,57,4.0,4.0,5.0,13.0,Champions
12390,80,1,549.84,549.84,0,32,2.0,1.0,3.0,6.0,At Risk
12391,22,1,460.89,460.89,0,92,4.0,1.0,2.0,7.0,Potential Loyalists
12393,72,4,1582.6000000000001,395.65,260,47,2.0,3.0,4.0,9.0,Loyal Customers
12394,64,2,1272.48,636.24,153,26,3.0,2.0,4.0,9.0,Loyal Customers
12395,16,15,2998.28,199.88533333333334,355,91,4.0,5.0,5.0,14.0,Champions
12397,36,2,2409.9,1204.9499999999998,99,110,3.0,2.0,5.0,10.0,Loyal Customers
12398,46,1,1635.6599999999999,1635.6599999999999,0,85,3.0,1.0,4.0,8.0,Recent Customers
